,,,PORTAFOLIO IMPRECIONANTES CICLO #2- 2026  1 ABRIL AL 31 MAYO 2026,,,,,,,,,,,,,
SUB,CATEGORIA,PROVEEDOR,MARCA,PLU,DESCRIPCION,CONTENIDO,CONTE,OBSERVACIONES,PRECIO PROMEDIO ACTUAL ,PVP ESTRATEGIA,AHORRO,PUM OFERTA,Codigos Pos,Estrategia con puntos,Codigos Pos con puntos,
97,DETERGENTES,PROCTER,ARIEL,1413539,DETERGENTE EN POLVO TRIPLE PODER,5000 G,5000,"Aplicará con puntos los días 4, 18 Abril. 2, 16 y 30 Mayo","$62,300 ","$42,950 ","$19,350 ",$8.59 ,1499428, 400 ptos + $35.900,1512821(4 abril);1512835 (18 Abril); 1512835(2 Mayo);1512863(16 Mayo);1512877(30 Mayo),
95,CERVEZAS,CENTRAL,ANDINA,1627416,SIXPACK CERVEZA LATA DORADA,1614 ML,1614,"Aplicará con puntos los días 4, 18 Abril. 2, 16 y 30 Mayo","$13,800 ","$9,990 ","$3,810 ",$6.19 ,1522905, 400 ptos + $6.900,1512825 (4 Abril.); 1512839 ( 18 Abril.); 1512853 ( 2 Mayo.); 1512867 (16 Mayo.); 1512881 ( 30 Mayo),
90,ARROZ,AGROINDUSTRIAL MOLINO SONORA A,SONORA,3822261,ARROZ BLANCO SONORA ARROBA ,11250 G,11250,"Aplicará con puntos los días 4, 18 Abril. 2, 16 y 30 Mayo","$46,100 ","$36,900 ","$9,200 ",$3.28 ,1512404, 400 ptos + $29.900,1512827 4 Abril. 1512841 18 Abril. 1512855 2 Mayo. 1512869 16 Mayo. 1512883 30 Mayo.,
92,CAFE,PROCAFECOL,JUAN VALDEZ,3054603,CAFÉ MOLIDO CUMBRE, 454 G ,454,,"$49,400 ","$34,590 ","$14,810 ",$76.19 ,1520732,,,
69,ALIMENTO LACTEO EN POLVO,NESTLÉ,KLIM,1783394,Leche En Polvo Entera,600 G,600,"Aplicará con puntos los días 4, 18 Abril. 2, 16 y 30 Mayo","$33,700 ","$23,950 ","$9,750 ",$39.92 ,pdte, 400 ptos + $19.900,1512829 4 Abril. 1512843 18 Abril. 1512857 2 Mayo. 1512871 16 Mayo. 1512885 30 Mayo.,
97,Detergentes,Unilever,FAB ,3429177,DETERGENTE LIQUIDO ULTRA,1.8 L,1800,"Aplicará con puntos los días 4, 18 Abril. 2, 16 y 30 Mayo","$33,950 ","$19,950 ","$14,000 ",$11.08 ,1499429, 400 ptos + $16.900,1512831 4 Abril. 1512845 18 Abril. 1512859 2 Mayo. 1512873 16 Mayo. 1512887 30 Mayo.,
94,ATUNES,COLOMBOESPAÑOLA,ISABEL,1409470,ATUN EN ACEITE ,142 G,142,,"$7,650 ",2X$8.990,"$6,310 ",$31.65 ,1516091,,,
94,ATUNES,COLOMBOESPAÑOLA,ISABEL,1409471,ATUN  AGUA,142 G,142,,,,,,1516091,,,
93,CEREALES LISTOS,KELLOGGS,ZUCARITAS,3518883,CEREAL HOJUELAS DE MAIZ AZUCARADAS,610 G,610,,"$28,900 ","$19,990 ","$8,910 ",$32.77 ,pdte,,,
93,CEREALES LISTOS,KELLOGGS,CHOCO KRISPIS,3517969,CEREAL DE ARROZ CUBIERTO CHOCOLATE,360 G,360,,"$20,000 ","$13,990 ","$6,010 ",$38.86 ,pdte,,,
63,GASEOSAS,COCA-COLA,QUATRO,184661,GASEOSA TORONJA ORIGINAL,1500 ML,1500,,"$4,790 ","$3,590 ","$1,200 ",$2.39 ,1520648,,,
406,JABONES DE TOCADOR,KENVUE,JOHNSON S,1629748,JABON AVENA TRIPACK, 330 G ,330,,"$12,500 ","$8,400 ","$4,100 ",$25.45 ,1517264,,,
406,JABONES DE TOCADOR,KENVUE,JOHNSON S,1629750,JABON ORIGINAL TRIPACK, 330 G ,330,,"$12,500 ","$8,400 ","$4,100 ",$25.45 ,1517264,,,
406,CREMAS CORPORALES,KENVUE,LUBRIDERM,3511921,Crema Corporal Humectacion Diaria,946 ML,946,,"$72,000 ","$48,900 ","$23,100 ",$51.69 ,1517263,,,
69,MODIFICADORES DE LECHE,NUTRESA,CHOCOLISTO,3065906,Bebida Chocolatada Doypack, 750 G ,750,,"$27,050 ","$18,950 ","$8,100 ",$25.27 ,1521129,,,
67,PAPEL HIGIENICO,FAMILIA,FAMILIA,3562572,PAPEL HIGIENICO EXTRA GRANDE X 15 ROLLOS, 360 MT ,360,,"$34,100 ","$25,950 ","$8,150 ",$72.08 ,1499430,,,
96,SHAMPOO,PROCTER,H&S,3566572,SHAMPOO ANTICOMEZON,1000 ML,1000,,"$51,200 ","$29,900 ","$21,300 ",$29.90 ,1517265,,,
98,CREMAS DENTALES,COLGATE,COLGATE,3821000,CREMA DENTAL LUMINOUS WHITE, 100 ML ,100,,"$21,750 ","$15,250 ","$6,500 ",$152.50 ,pdte,,,
98,CREMAS DENTALES,COLGATE,COLGATE,1282860,CREMA DENTAL MAX WHITE COMPLET, 300 ML  ,300,,"$31,300 ","$20,950 ","$10,350 ",$69.83 ,pdte,,,
67,TOALLAS COCINA,KIMBERLY,SCOTT,3282445,TOALLA REUTILIZABLE DURAMAX X 3 ROLLOS,3 U,3,,"$29,400 ","$19,950 ","$9,450 ","$6,650.00 ",1499431,,,
