,,,,,,,,,,,
Gerencia,Cadena,Plu,Nombre Plu,Subl,Sublinea,Subcat,Subcategoria,Marc,Marca,Clase Marca,Estrategia
Gran Consumo,Éxito,1001019,OF*LAVALOZA LIMON TRIPACK $ESP,405,LIMPIADORES E IMPLEMENTOS ASEO,4510,LAVALOZA CREMAS/GEL,20000,EXITO MARCA PROPIA,MARCA PROPIA                                      ,Insuperables Marca Propia
Gran Consumo,Éxito,1121545,Frijol Nima,90,GRANOS,2040,FRIJOL VARIEDAD,17798,FRESCAMPO,MARCA PROPIA                                      ,Insuperables Marca Propia
Gran Consumo,Éxito,1121546,Frijol Zaragoza,90,GRANOS,2040,FRIJOL VARIEDAD,17798,FRESCAMPO,MARCA PROPIA                                      ,Insuperables Marca Propia
Gran Consumo,Éxito,1121547,Lenteja,90,GRANOS,4030,LENTEJA,17798,FRESCAMPO,MARCA PROPIA                                      ,Insuperables Marca Propia
Gran Consumo,Éxito,1121592,Arveja Verde,90,GRANOS,4010,ARVEJA,17798,FRESCAMPO,MARCA PROPIA                                      ,Insuperables Marca Propia
Gran Consumo,Éxito,1121597,Frijol Caraota,90,GRANOS,2040,FRIJOL VARIEDAD,17798,FRESCAMPO,MARCA PROPIA                                      ,Insuperables Marca Propia
Gran Consumo,Éxito,1121603,Frijol Nima,90,GRANOS,2040,FRIJOL VARIEDAD,17798,FRESCAMPO,MARCA PROPIA                                      ,Insuperables Marca Propia
Gran Consumo,Éxito,1121605,Frijol Zaragoza,90,GRANOS,2040,FRIJOL VARIEDAD,17798,FRESCAMPO,MARCA PROPIA                                      ,Insuperables Marca Propia
Gran Consumo,Éxito,1121606,Lenteja,90,GRANOS,4030,LENTEJA,17798,FRESCAMPO,MARCA PROPIA                                      ,Insuperables Marca Propia
Gran Consumo,Éxito,1121609,Arveja Verde,90,GRANOS,4010,ARVEJA,17798,FRESCAMPO,MARCA PROPIA                                      ,Insuperables Marca Propia
Gran Consumo,Éxito,1121613,*Frijol Caraota,90,GRANOS,2040,FRIJOL VARIEDAD,17798,FRESCAMPO,MARCA PROPIA                                      ,Insuperables Marca Propia
Gran Consumo,Éxito,1165837,Maiz Pira,90,GRANOS,3040,MAIZ PIRA,17798,FRESCAMPO,MARCA PROPIA                                      ,Insuperables Marca Propia
Gran Consumo,Éxito,1165838,Maiz Blanco,90,GRANOS,3020,MAIZ BLANCO,17798,FRESCAMPO,MARCA PROPIA                                      ,Insuperables Marca Propia
Gran Consumo,Éxito,1165839,Maiz Amarillo,90,GRANOS,3040,MAIZ PIRA,17798,FRESCAMPO,MARCA PROPIA                                      ,Insuperables Marca Propia
Gran Consumo,Éxito,1165841,Maiz Pira,90,GRANOS,3040,MAIZ PIRA,17798,FRESCAMPO,MARCA PROPIA                                      ,Insuperables Marca Propia
Gran Consumo,Éxito,1165934,Maiz Trillado Bco,90,GRANOS,3020,MAIZ BLANCO,17798,FRESCAMPO,MARCA PROPIA                                      ,Insuperables Marca Propia
Gran Consumo,Éxito,1261875,Agua Sin Gas,63,BEBIDAS LIQUIDAS NO ALCOHOLICA,6710,AGUA NORMAL,36937,CARULLA,MARCA PROPIA                                      ,Insuperables Marca Propia
Gran Consumo,Éxito,1291292,Café Soluble Granulado,92,BEBIDAS CALIENT/Y ALMT.NATURIS,5620,CAFE INSTANTANEO,17798,FRESCAMPO,MARCA PROPIA                                      ,Insuperables Marca Propia
Gran Consumo,Éxito,1300462,TOALLITAS HUMEDAS X10 DE BEBE,67,PAPELES Y ABSORBENTES,8540,TOALLITAS HUMEDAS BABY OTROS U,14401,PERSONAL CHOICE MARCA EXCLUSIV,MARCA EXCLUSIVA                                   ,Insuperables Marca Propia
Gran Consumo,Éxito,1356712,Sangría,95,LICORES Y CIGARRILLOS,8010,APERITIVOS Y POUS/CAFE,23535,CRUZARES MARCA EXCLUSIVA,MARCA EXCLUSIVA                                   ,Insuperables Marca Propia
Gran Consumo,Éxito,1375498,Agua Pura Sin Gas,63,BEBIDAS LIQUIDAS NO ALCOHOLICA,6710,AGUA NORMAL,17798,FRESCAMPO,MARCA PROPIA                                      ,Insuperables Marca Propia
Gran Consumo,Éxito,138186,Plato Pequeño,404,DESECHABLES Y AEROSOLES,5520,PLATOS DESECHABLES,80000,EKONO,MARCA PROPIA                                      ,Insuperables Marca Propia
Gran Consumo,Éxito,144906,Servilleta Cortada,67,PAPELES Y ABSORBENTES,7540,SERVILLETAS PARTIDAS,80000,EKONO,MARCA PROPIA                                      ,Insuperables Marca Propia
