,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,Info para aplicar SR,Info para negocio dctos pos,,
insuperables ciclo 2 ,,,,,,,,,,,,
Negociador,PROVEEDOR,SUB,CATEGORIA,SUBCATEGORIA,MARCA,PLU,DESCRIPCION PLU,Presentacion,PRECIO APLICAR SR, Dcto pos aplica el negocio ,Observación,
Kathe A,COMERCIAL NUTRESA S.A.S,93,GALLETAS DULCES,GALLETAS WAFER,NOEL,3640709,Galletas wafer sabor coco,264 G,"$8,350 ",15%,,
Kathe A,COMERCIAL NUTRESA S.A.S,93,GALLETAS SALUDABLES,SALUDABLES PLANAS,TOSH,3298176,Galletas crackers fusión de cereales x9und,229.5 G,"$8,350 ",15%,,
Luis V,COMERCIAL +BIOS SAS,401,ALIMENTOS MASCOTAS,ALIMENTOS GATOS,MIRRINGO,3296101,Alimento Gato +PRO,1000 G,"$15,800 ",20%,,
Luis V,NESTLE PURINA PET CARE COLOMBI,401,ALIMENTOS MASCOTAS,ALIMENTOS PERROS,ALPO,3229327,"Alimento perros adultos carne, pollo, cereales y vegetales",2000 G,"$18,900 ",20%,,
Luis V,NESTLE PURINA PET CARE COLOMBI,401,ALIMENTOS MASCOTAS,ALIMENTO HUMEDO PERROS,PURINA DOG CHOW,3408374,Alimento humedo para perros pack surtido,600 G,"$19,500 ",10%,,
Luis V,NESTLE PURINA PET CARE COLOMBI,401,ALIMENTOS MASCOTAS,ALIMENTOS HUMEDO GATOS,PURINA,3408377,alimento humedo gato surtio Fancy Feast ,340 G,"$22,800 ",10%,,
Luis V,NESTLE PURINA PET CARE COLOMBI,401,ALIMENTOS MASCOTAS,ALIMENTOS HUMEDO GATOS,FELIX,919247,Alimento humedo  gatos pate salmon,156 G,"$5,980 ",15%,,
Luis V,NESTLE PURINA PET CARE COLOMBI,401,ALIMENTOS MASCOTAS,ALIMENTOS HUMEDO GATOS,FELIX,3408373,Alimento húmedo  gatos sabor surtido,680 G,"$21,600 ",10%,,
Kathe A,DIANA CORPORACION  S.A.S,93,HARINAS,HARINA PRECOCIDA MAIZ,DIANA,3064250,Harina Maíz Blanco,1000 G,"$3,300 ",10%,,
Luis V,ALIMENTOS POLAR COLOMBIA S.A.S,401,ALIMENTOS MASCOTAS,ALIMENTOS PERROS,DOGOURMET,588157,Alimento perros Carne Parrilla Mascotas,2000 G,"$21,450 ",10%,,
Vero San Juan,COLGATE PALMOLIVE COMPANIA.,98,CREMAS DENTALES,CREMA DENTAL TRIPLE ACCION,COLGATE,3514886,Crema dental Triple acción extra blancura,150 ML,"$11,700 ",15%,,
Vero San Juan,COLGATE PALMOLIVE COMPANIA.,98,ENJUAGUES BUCALES,ENJUAGUE BUCAL ANTISEPTICOS,PLAX,675439,ENJUAGUE BUCAL ICE,500 ML,"$19,800 ",20%,,
Vero San Juan,PROCTER & GAMBLE COLOMBIA LTDA,98,HOJAS Y MAQUINAS HOMBRE,REPUESTOS AFEITADA HOMBRE,MACH 3,536607,Repuestos máquina de afeitar  sensitive piel sensible,4 U,"$64,600 ",15%,,
Vero San Juan,PROCTER & GAMBLE COLOMBIA LTDA,98,CEPILLOS DENTALES,CEPILLO DENTAL ADULTOS,ORAL-B,3059578,Cepillo de dientes acciones cerdas pulidoras carbón,4 U,"$34,700 ",25%,,
Alba,UNILEVER ANDINA COLOMBIA LTDA,97,JABONES DE LAVAR,JABON DE LAVAR CUIDADO PRENDAS,COCO VARELA,351623,Jabón de barra original x 3 unids,900 G,"$15,300 ",20%,,
