VIGENCIA: 1 AL 4 DE MAYO 2026,,,,,,,,,,,,,,,,,,,,
SUBLINEA,ID CATEGORIA,DESC CATEGORIA,ID SUBCA,DESC SUBCA,ID MARCA,DESC MARCA,PLU,PLU DESC,Contenido,DESCUENTO, Inventario , Unidades Publicacion ,PUBLICACIÓN,,,,,,,
83,8325,QUESOS AUTOSERVICIO,2520,LIGEROS,3704,FINESSE,813514,Queso Mozarella 15 tajadas  ,239 G,20%," 22,030 "," 22,500 ",1,,,,,,,
83,8325,QUESOS AUTOSERVICIO,2555,ESPARCIBLES,265,ALPINA,955112,Queso Cremosino vaso  ,380 G,25%," 9,726 "," 10,000 ",1,,,,,,,
83,8320,ESPARCIBLES VEGETAL,2041,MARGARINA O ESPARCIBLE DE MESA,1504,CAMPI,102611,Esparcible para mesa y cocina con sal,500 G,25%," 5,107 "," 10,000 ",1,,,,,,,
83,8340,AREPAS,4082,AREPAS CHOCOLO,8955,SARY,737089,Arepas de chocolo x4 und,350 G,20%," 2,500 "," 8,000 ",1,,,,,,,
83,8313,LECHES LIQUIDAS,1385,LECHE LIQUIDA UHT BOLSA,10779,ALQUERIA,3616197,Leche Semidescremada Deslactosada Und,1000 ML,20%," 3,000 "," 3,000 ",1,,,,,,,
83,8313,LECHES LIQUIDAS,1385,LECHE LIQUIDA UHT BOLSA,10779,ALQUERIA,3616198, Leche Semidescremada Original Und,1000 ML,20%," 1,200 "," 1,500 ",1,,,,,,,
83,8312,BEBIDAS LACTEAS,1210,LACTEO REFRESCANTE,4586,YOGO YOGO,504635,Bebida láctea  surtido bolsa x8und 150ml,1200 G,25%," 9,792 "," 10,000 ",1,,,,,,,
83,8312,BEBIDAS LACTEAS,1220,YOGURT TIPO GRIEGO,265,ALPINA,3310405,Yogurt griego natural,471 ML,20%," 12,172 "," 12,500 ",1,,,,,,,
81,8119,PANES BLANCOS Y TOSTADOS,1991,TORTILLAS Y PAN ARABE,4403,HAZ DE OROS,701946,Tortilla Integral Con Chía,190 G,15%," 6,285 "," 6,500 ",1,,,,,,,
81,8119,PANES BLANCOS Y TOSTADOS,1991,TORTILLAS Y PAN ARABE,4403,HAZ DE OROS,1212989,Tortilla Integral Avena,190 G,15%," 6,574 "," 7,000 ",1,,,,,,,
81,8155,PANADERIA DULCE,5558,BROWNIES,10630,MAMA-IA,1243227,Brownie Arequipe,70 G,15%," 7,743 "," 8,000 ",1,,,,,,,
92,9256,CAFE,5610,CAFE MOLIDO,6069,LUKAFE,3516881,Cafe Tostado Molido Intenso.,400 G,20%," 4,592 "," 5,000 ",1,,,,,,,
59,5990,PASABOCAS,9095,PASABOCAS MIXTOS,1578,DETODITO,3168433,Pasabocas Bbq,165 G,15%," 20,346 "," 20,500 ",1,,,,,,,
92,9260,CHOCOLATES,6030,CHOCOLATES AMARGOS,6090,LUKER,3624961,Chocolate tradicional sin azúcar,112 G,15%," 9,162 "," 9,500 ",1,,,,,,,
406,40612,JABONES DE TOCADOR,1260,JABON CREMOSOS Y HUMECTANTES,3004,DOVE,800178,Tripack Jabón blanco,270 G,25%," 23,800 "," 24,000 ",1,,,,,,,
406,40613,CREMAS DE MANOS Y CORPORAL,1310,CREMAS HUMECTANTES,7250,NIVEA,441007,Crema corporal humectante milk nutritiva,1000 ML,30%," 7,514 "," 8,000 ",1,,,,,,,
67,6780,PAPEL HIGIENICO,8020,PAPEL HIGIENICO RENDIDOR,3585,FAMILIA,3383519,Papel higiénico expert 4 hojas x9 rollos,234 M,15%," 19,502 "," 19,500 ",1,,,,,,,
67,6760,PROTECTORES DIARIOS,6030,PROTEC. DIARIOS LARGOS,7280,NOSOTRAS,198574,Protectores diarios largos,80 U,20%," 12,062 "," 12,500 ",1,,,,,,,
67,6720,TOALLAS COCINA,2020,TOALLAS COCINA DESECHABLE,1535,SCOTT,3034210,Toallas de cocina rollo mega absorb,135 U,20%," 3,250 "," 3,500 ",1,,,,,,,
93,9344,CEREALES LISTOS,4440,CEREALES FAMILIA,22744,CORN FLAKES,3518885,Cereal original,410 G,25%," 7,438 "," 7,500 ",1,,,,,,,
93,9346,PASTAS,4610,PASTAS FINAS,15021,CONZAZONI,196010,Pastas larga vermicelli,1000 G,30%," 4,519 "," 5,000 ",1,,,,,,,
93,9345,HARINAS,4525,HARINA PRECOCIDA MAIZ,1688,DONAREPA,791935,Harina precocida de maíz blanco,1000 G,15%," 15,136 "," 15,500 ",1,,,,,,,
93,9316,GALLETAS DULCES,1631,GALLETAS CREMADAS,17476,OREO,313461,Galletas original x12und,432 G,20%," 37,008 "," 37,500 ",1,,,,,,,
402,40242,SALSAS DE TOMATE,4210,SALSA DE TOMATE NORMAL,3930,FRUCO,981730,Salsa de tomate doy pack,600 G,25%," 40,156 "," 40,500 ",1,,,,,,,
94,9421,ATUNES,2120,ATUNES EN ACEITE,9672,VAN CAMPS,545806,Atún En aceite de girasol,160 G,15%," 30,000 "," 30,000 ",1,,,,,,,
97,9710,DETERGENTES,1021,DETERGENTES CONVENCIONALES,2655,DERSA,3580565,Detergente en polvo multiusos bicarbonato + manzana,2000 G,25%," 6,720 "," 7,000 ",1,,,,,,,
97,9712,SUAVIZANTES DE ROPA,1210,SUAVIZANTES REGULAR,18042,SUAVITEL,1509088,Suavizante cuidado superior fresca primavera,1500 ML,20%," 6,534 "," 7,000 ",1,,,,,,,
405,40545,LAVALOZA,4520,LAVALOZAS LIQUIDOS,16871,LOZA CREM,1344808,LAVALOZA DOYPACK LIMON,1500 ML,20%," 8,066 "," 8,500 ",1,,,,,,,
405,40519,LIMPIAPISOS,1928,LIMPIAPISOS EFICIENTES,130,AJAX,324214,Limpia Pisos Naranja  Limón,1000 ML,25%," 4,151 "," 4,500 ",1,,,,,,,
405,40508,BLANQUEADORES,830,BLANQUEADOR SIN FRAGANCIA,5974,BLANCOX,51617,Blanqueador desinfectante aroma poder natural,2000 ML,20%," 1,200 "," 1,500 ",1,,,,,,,
98,9810,CEPILLOS DENTALES,1010,CEPILLO DENTAL ADULTOS,8163,PRO,403206,Cepillo de dientes deluxe  medio,1 U,30%," 5,156 "," 5,500 ",1,,,,,,,
98,9807,CREMAS DENTALES,750,CREMA DENTAL TRIPLE ACCION,7431,ORAL-B,3161657,Crema dental extra blancura con bicarbonato,150 ML,30%," 5,820 "," 6,000 ",1,,,,,,,
90,9010,ARROZ,1020,ARROZ BLANCO,522,FLOR HUILA,199000,Arroz blanco,5000 G,20%," 8,648 "," 9,000 ",1,,,,,,,
90,9071,AZUCAR,7110,AZUCAR REFINADA,6333,MANUELITA,441016,Azúcar alta pureza,2000 G,20%," 50,000 "," 50,000 ",1,,,,,,,
403,40378,ACEITES COMESTIBLES,7815,ACEITE OLIVA,1291,BUCATTI,107713,Aceite de oliva extra virgen,750 CM3,20%," 2,723 "," 3,000 ",1,,,,,,,
90,9020,FRIJOL,2020,FRIJOL CARGAMANTO,2690,DIANA,3533993,Frijol calima ,1000 G,10%," 1,504 "," 1,500 ",1,,,,,,,
90,9040,OTROS GRANOS,4030,LENTEJA,2690,DIANA,1408940,Lenteja  seleccionadas,500 G,10%," 15,940 "," 16,000 ",1,,,,,,,
83,8313,LECHES LIQUIDAS,1385,LECHE LIQUIDA UHT BOLSA,10779,ALQUERIA,3616196,Leche Semidescre Deslacto Sixp,,20%,,,,,,,,,,
83,8313,LECHES LIQUIDAS,1385,LECHE LIQUIDA UHT BOLSA,10779,ALQUERIA,3616199,Leche Semides Original Sixpack,,20%,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
